,ECR,Player,Tipoff  (ET),Opponent,Today,Yesterday,Difference
54,206,Ish Smith (WAS - PG) ,7:00PM,@TOR,"$5,100",-,-
55,303,Marco Belinelli (SAS - SF) ,8:30PM,ATL,"$3,000",-,-
56,103,Marc Gasol (TOR - C) ,7:00PM,WAS,"$4,800",-,-
57,251,Justin Holiday (IND - SG/SF) ,7:00PM,MIN,"$3,800",-,-
58,72,Kevin Love (CLE - PF) ,8:00PM,@MEM,"$7,200",-,-
59,270,Mike Scott (PHI - PF) ,7:00PM,CHI,"$3,200",-,-
60,189,James Johnson (MIA - PF/C) ,8:00PM,@OKC,"$3,600",-,-
61,108,Jeff Teague (ATL - PG) ,8:30PM,@SAS,"$4,300",-,-
62,-,Evan Turner (ATL - PG/SF) ,8:30PM,@SAS,"$3,000",-,-
63,-,Chandler Parsons (ATL - SF/PF) ,8:30PM,@SAS,"$3,000",-,-
64,154,Kent Bazemore (POR - SG/SF) ,9:30PM,@DAL,"$4,600",-,-
65,238,Patty Mills (SAS - PG/SG) ,8:30PM,ATL,"$3,900",-,-
66,45,Danilo Gallinari (OKC - SF/PF) ,8:00PM,MIA,"$6,300",-,-
67,86,Serge Ibaka (TOR - C) ,7:00PM,WAS,"$7,300",-,-
68,141,Goran Dragic (MIA - PG) ,8:00PM,@OKC,"$5,300",-,-
69,33,DeMar DeRozan (SAS - SG/SF) ,8:30PM,ATL,"$8,100",-,-
70,166,Isaiah Thomas (WAS - PG) ,7:00PM,@TOR,"$3,800",-,-
71,9,Jimmy Butler (MIA - SG/SF) ,8:00PM,@OKC,"$7,800",-,-
72,7,Damian Lillard (POR - PG) ,9:30PM,@DAL,"$8,500",-,-
73,194,Seth Curry (DAL - SG) ,9:30PM,POR,"$3,700",-,-
74,265,Kyle O'Quinn (PHI - PF/C) ,7:00PM,CHI,"$3,800",-,-
75,-,John Henson (CLE - C) ,8:00PM,@MEM,"$3,700",-,-
76,-,Ryan Broekhoff (DAL - SG/SF) ,9:30PM,POR,"$3,000",-,-
77,-,Solomon Hill (MEM - SF/PF) ,8:00PM,CLE,"$3,200",-,-
